GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
contato-application,org.com.appl.contato,ContatoApplication,5,3,0,0,2,1,1,1,1,1
contato-application,org.com.appl.contato.controller,ContatoController,0,24,0,0,0,6,0,5,0,5
